Index,Year,H0,eH0,ObsType,Reference
1,1927,625,50,O,"Lemaitre, G. 1927, Ann. of the Scientifc Society of Bruselles 47A, 49"
2,1928,460,45,O,"Robertson, H. 1928, Phil. Mag. 5, 835. (error bars estimated jph)"
3,1929.046,500,50,A,"Hubble 1929, PNAS 15, 168  (10\% error)"
4,1931.18,558,50,A,"Hubble and Humason 1931, ApJ 74, 43 (<10\% error)"
5,1931.914,290,217.5,O,"Oort 1931, BAN 6, 155."
6,1935.1,865,100,O,"Eddington, 1935, MNRAS 95, 636 (Large Number Hypothesis)"
7,1936,524,50,O,"Hubble 1936, Realm of the Nebulae (Dover)"
8,1951.08,260,135,O,"Behr 1951, Astr. Nachr. 279, 97"
9,1952.694,280,28,O,"Baade, 1954, Trans IAU 8, 397"
10,1956.3,180,36,AS,"Humason, Mayall \& Sandage 1956, AJ 61, 97 (error prob > 20%)"
11,1958,136,14,A,"Holmberg 1958, Lund. Medd Ser. II 136"
12,1958.35,75,25,AS,"Sandage 1958, ApJ 127, 513"
13,1960,100,18.5,AV,"vandenBergh 1960, Zf.Ap. 49, 198"
14,1960.27,120,22.5,AV,"vandenBergh 1960, JRASC 54, 49"
15,1960.79,125,5,O,"Sersic 1960, Zf.f. Ap. 50, 168"
16,1961,130,30,O,"McVittie, G. 1961, in {\it Fact \& Theory in Cosmology}, (New York: Macmillan)."
17,1962.5,98,15,AS,"Sandage 1961, IAU Symp 15, 359 (Problems of Extragalactic Research, G. C. McVittie, ed (New York: MacMillan))"
18,1968.164,79,12,G,"Racine 1968, JRASC 62, 327 % M87 GC's"
19,1968.43,75,17,AS,"Sandage 1968, ApJL 152, L149 % M87 GC's"
20,1970.104,95,13.5,AV,"vandenBergh 1970, Nature 225, 503"
21,1972.72,95,36,NV,"vandenBergh 1972, A\&A 20, 469. Novae"
22,1973,40,19,S,"Branch, D. \& Patchett, B. 1973, MNRAS 161, 71. % SN"
23,1974.71,60,15,S,"Kirshner, R \& Kwan, J. 1974, ApJ 193, 27. EPM on N1068 and M101"
24,1974.912,55,9,OS,"Sandage \& Tammann, 1974c, ApJ 194, 223  III. M101 Group"
25,1974.957,57,6,OS,"Sandage \& Tammann, 1974d, ApJ 194, 559   IV. Luminosity Classes"
26,1975.169,57,3,OS,"Sandage \& Tammann, 1975a, ApJ 196, 313    V. Nearby Gals"
27,1975.291,59,4,OS,"Sandage \& Tammann, 1975b, ApJ 197, 265   VI. Remote ScI's"
28,1975.5,95,13.5,AV,"vandenBergh, 1975, in Galaxies and the Universe (Vol IX) (Chicago: Chicago) p509"
29,1975.52,55,5,AS,"Sandage, 1975, in Galaxies and the Universe (Vol IX) (Chicago: Chicago) p761."
30,1976.67,41,3,O,"Teerikorpi, P. 1976, A\&A 50, 455.  Sc's"
31,1976.708,76,8,O,"Bottinelli \& Gougenheim 1976, A\&Ap 51, 275"
32,1976.875,50,4,BS,"Sandage \& Tammann, 1976, ApJ 210, 7     VII. BTF"
33,1977.175,80,8,B,"Tully \& Fisher 1977, A\&A 54, 661"
34,1977.25,54,43,O,"Noonan, T. 1977, A\&A 55, 285. spiral rotation curves"
35,1977.42,49,9,S,"Branch, D. 1977, MNRAS 179, 401"
36,1977.5,52,2,AS,"Tammann 1977, CNRS Coll. 263, 43"
37,1977.52,83,19,B,"Heidmann 1977, CNRS Coll. 263, 487"
38,1977.54,76,8,B,"Bottinelli \& Gouguenheim 1977, CNRS Coll. 263, 481"
39,1977.56,90,10,AV,"deVaucouleurs, G., Peters \& Corwin 1977, CNRS Coll. 263, 150"
40,1977.624,49,2,OS,"Visvanathan and Sandage 1977, ApJ 216, 214"
41,1977.875,110,10,O,"Lynden-Bell, D. 1977, Nature 270, 396 QSO jets"
42,1979.128,51,2,O,"Visvanathan, N. 1979, ApJ 228, 81"
43,1979.207,58,11,OK,"Kennicutt, R. 1979a, ApJ 228, 696  (HII Regions, Isophotal diameters)"
44,1979.209,60,12.5,OK,"Kennicutt, R. 1979b, ApJ 228, 704  (HII regions)"
45,1979.24,56,15,S,"Branch, D. 1979, MNRAS 186, 609."
46,1979.253,61,4,HK,"Aaronson, Mould \& Huchra 1979, ApJ 229, 1  IRTF Virgo+Uma"
47,1979.42,59,8,O,"Visvanathan, N. \& Griersmith, D. 1979, ApJ 230, 1. Virgo and luminosity classes"
48,1979.67,80,11,G,"Hanes, D 1979, MNRAS 188, 901"
49,1979.739,100,10,AV,"deVaucouleurs,1979 in Problems of the Cosmos (Rome Symposium)"
50,1979.79,100,10,AV,"deVaucouleurs \& Bollinger 1979a, ApJ 233, 433"
51,1980.125,75,15,O,"Stenning \& Hartwick, 1980, AJ 85, 101  (Sb Luminosity classes)"
52,1980.419,65,4,HK,"Mould, Aaronson \& Huchra 1980, ApJ 238, 458  (Virgo IRTF)"
53,1980.503,95,4,HK,"Aaronson \etal 1980, ApJ 239, 12   Clusters"
54,1980.75,50,8,AS,"Tammann, G., Sandage, A. \& Yahil, A. 1980, in {\it Physical Cosmology}, 1979 Les Houches Summer  School, Balian, R., Audouze, J. \& Schramm, D. eds (North Hol"
55,1981.503,55,6,OK,"Kennicutt, 1981, ApJ 247, 9 (HII Regions and Virgo)"
56,1982,50,7,AS,"Sandage, A. \& Tammann,G. 1982, in {\it Astrophysical Cosmology}, Br\""uck, Coyne \& Longairm eds, Pontifical Academy of Sciences \#48, p23."
57,1982.374,50,7,AS,"Sandage \& Tammann, 1982, ApJ 256, 339     VIII. Global Value"
58,1982.458,63,10,HK,"Tully, Mould \& Aaronson 1982, ApJ 257, 527 (Color Mag to Virgo)"
59,1982.5,71,2,R,"Visvanathan, N. 1982, Proc.ASA 4, 419. VR+I TF"
60,1982.731,95,10,AV,"deVaucouleurs 1982, Nature 299, 303"
61,1983.05,100,10,AV,"deVaucouleurs 1983, MNRAS 202, 367"
62,1983.083,82,10,HK,"Aaronson \& Mould 1983, ApJ 265, 1 (groups)"
63,1983.169,93,10,O,"Buta, R. \& deVaucouleurs 1983, ApJ 266, 1. Inner Rings"
64,1983.957,74,11,R,"Visvanathan 1983, ApJ ,275, 430. ITF"
65,1984.07,55,9,H,"Sandage \& Tammann 1984, Nature 307, 326. IRTF"
66,1984.207,91,3,HK,"Bothun, G. \etal 1984, ApJ 278, 475 (ScI's)"
67,1984.54,85,5,O,"Paturel, G. 1984, ApJ 282, 382. Sosies Long"
68,1984.56,102,8,O,"Paturel, G. 1984, ApJ 282, 382. Sosies Short"
69,1984.919,101,10,A,"deVaucouleurs \& Peters, 1984, ApJ 287, 1"
70,1985.086,97,20,S,"deVaucouleurs, G. 1985, ApJ 289, 5. Tycho's SN"
71,1985.5,50,7,AS,"Sandage \& Tammann 1985, in SN as Distance Indicators, Bartel, ed (Berlin: Springer) p1."
72,1985.5,120,20,O,"Giraud, E. 1885, A\&A 153, 125"
73,1985.502,50,7,O,"Tammann, G. \& Sandage, A. 1985, ApJ 294, 81. Infall, CMB and H"
74,1985.52,70,30,S,"Bartel, N. 1985, in SN as Distance Indicators, Bartel, ed (Berlin: Springer) p107."
75,1985.54,55,15,S,"Branch, D. 1985, in SN as Distance Indicators, Bartel, ed (Berlin: Springer) p138."
76,1985.54,52,2,AS,"Tammann, G. \& Sandage, A. 1985, ApJ 294, 81. Virgo"
77,1985.56,43,10,SS,"Cadonau, S \& T 1985,  in SN as Distance Indicators, Bartel, ed (Berlin: Springer) p151."
78,1985.58,60,0,S,"Kirshner, R. 1985, in SN as Distance Indicators, Bartel, ed (Berlin: Springer) p171."
79,1985.6,55,15,S,"Wheeler, J. C. 1985, in SN as Distance Indicators, Bartel, ed (Berlin: Springer) p200."
80,1985.64,67,4,H,"Visvanathan, N. 1985, PASAu 6, 140. Virgo"
81,1985.75,99,7,SV,"deVaucouleurs, G. \& Corwin, H. 1985, ApJ 297, 23"
82,1986,50,7,AS,"Sandage \& Tammann 1986, in Innerspace/Outerspace,  Kolb \etal eds, (Chicago: Chicago) p41."
83,1986.02,85,22.5,HK,"Huchra, J. 1986, in Innerspace/Outerspace, Kolb \etal eds., (Chicago: Chicago) p65."
84,1986.207,92,1,HK,"Aaronson \etal 1986, ApJ 302, 536"
85,1986.253,90,20,AK,"Aaronson \& Mould 1986, ApJ 303, 1"
86,1986.355,109,4,O,"deVaucouleurs, G. and Peters, W. 1986, ApJ 303, 19. Sosies"
87,1986.5,43,10,AS,"Sandage, 1986, in Luminous Stars ... p 40."
88,1986.6,99,10,AV,"deVaucouleurs 1986, in Galaxy Distances and Deviations, Madore and Tully eds (Dordrecht: Reidel) p1."
89,1986.62,60,10,S,"Wheeler \& Harkness 1986, in Galaxy Distances and Deviations, Madore and Tully eds (Dordrecht: Reidel) p45."
90,1986.64,85,15,HK,"Aaronson 1986, in Galaxy Distances and Deviations, Madore and Tully eds (Dordrecht: Reidel) p55."
91,1986.66,55,5,B,"Huchtmeier 1986, in Galaxy Distances and Deviations, Madore and Tully eds (Dordrecht: Reidel) p63."
92,1986.68,60,6,BS,"Kraan-Korteweg \etal 1986, in Galaxy Distances and Deviations, Madore and Tully eds (Dordrecht: Reidel) p65."
93,1986.7,72,3,B,"Bottinelli \etal 1986, in Galaxy Distances and Deviations, Madore and Tully eds (Dordrecht: Reidel) p73."
